Entity,Code,Day,Biweekly cases per million people
Afghanistan,AFG,2021-08-15,113.768
Afghanistan,AFG,2021-08-16,104.354
Afghanistan,AFG,2021-08-17,92.154
Afghanistan,AFG,2021-08-18,86.104
Afghanistan,AFG,2021-08-19,76.565
Afghanistan,AFG,2021-08-20,66.222
Afghanistan,AFG,2021-08-21,56.658
Afghanistan,AFG,2021-08-22,51.537
Afghanistan,AFG,2021-08-23,45.311
Afghanistan,AFG,2021-08-24,41.345
Afghanistan,AFG,2021-08-25,35.923
Afghanistan,AFG,2021-08-26,31.605
Afghanistan,AFG,2021-08-27,29.873
Afghanistan,AFG,2021-08-28,26.76
Afghanistan,AFG,2021-08-29,25.103
Afghanistan,AFG,2021-08-30,25.254
Afghanistan,AFG,2021-08-31,24.526
Afghanistan,AFG,2021-09-01,22.518
Afghanistan,AFG,2021-09-02,22.467
Afghanistan,AFG,2021-09-03,23.271
Afghanistan,AFG,2021-09-04,22.543
Afghanistan,AFG,2021-09-05,22.894
Afghanistan,AFG,2021-09-06,23.873
Afghanistan,AFG,2021-09-07,24.25
Afghanistan,AFG,2021-09-08,25.455
Afghanistan,AFG,2021-09-09,25.555
Afghanistan,AFG,2021-09-10,25.153
Afghanistan,AFG,2021-09-11,24.476
Afghanistan,AFG,2021-09-12,24.024
Afghanistan,AFG,2021-09-13,23.748
Afghanistan,AFG,2021-09-14,24.099
Afghanistan,AFG,2021-09-15,25.681
Afghanistan,AFG,2021-09-16,26.484
Afghanistan,AFG,2021-09-17,27.915
Afghanistan,AFG,2021-09-18,27.413
Afghanistan,AFG,2021-09-19,26.71
Afghanistan,AFG,2021-09-20,26.384
Afghanistan,AFG,2021-09-21,27.262
Afghanistan,AFG,2021-09-22,25.63
Afghanistan,AFG,2021-09-23,24.099
Afghanistan,AFG,2021-09-24,25.053
Afghanistan,AFG,2021-09-25,24.551
Afghanistan,AFG,2021-09-26,24.35
Afghanistan,AFG,2021-09-27,24.551
Afghanistan,AFG,2021-09-28,22.919
Afghanistan,AFG,2021-09-29,21.212
Afghanistan,AFG,2021-09-30,20.409
Afghanistan,AFG,2021-10-01,17.673
Afghanistan,AFG,2021-10-02,17.673
Afghanistan,AFG,2021-10-03,17.673
Afghanistan,AFG,2021-10-04,17.623
Afghanistan,AFG,2021-10-05,14.987
Afghanistan,AFG,2021-10-06,15.639
Afghanistan,AFG,2021-10-07,15.79
Afghanistan,AFG,2021-10-08,12.25
Afghanistan,AFG,2021-10-09,12.702
Afghanistan,AFG,2021-10-10,13.757
Afghanistan,AFG,2021-10-11,11.748
Afghanistan,AFG,2021-10-12,12.702
Afghanistan,AFG,2021-10-13,12.527
Afghanistan,AFG,2021-10-14,12.752
Afghanistan,AFG,2021-10-15,12.476
Afghanistan,AFG,2021-10-16,13.757
Afghanistan,AFG,2021-10-17,14.384
Afghanistan,AFG,2021-10-18,12.276
Afghanistan,AFG,2021-10-19,12.351
Afghanistan,AFG,2021-10-20,12.024
Afghanistan,AFG,2021-10-21,11.598
Afghanistan,AFG,2021-10-22,12.125
Afghanistan,AFG,2021-10-23,11.899
Afghanistan,AFG,2021-10-24,10.945
Afghanistan,AFG,2021-10-25,12.552
Afghanistan,AFG,2021-10-26,11.849
Afghanistan,AFG,2021-10-27,12.476
Afghanistan,AFG,2021-10-28,12.15
Afghanistan,AFG,2021-10-29,12.752
Africa,,2020-02-26,0.001
Africa,,2020-02-27,0.001
Africa,,2020-02-28,0.001
Africa,,2020-02-29,0.001
Africa,,2020-03-01,0.002
Africa,,2020-03-02,0.005
Africa,,2020-03-03,0.007
Africa,,2020-03-04,0.015
Africa,,2020-03-05,0.017
Africa,,2020-03-06,0.031
Africa,,2020-03-07,0.031
Africa,,2020-03-08,0.06
Africa,,2020-03-09,0.066
Africa,,2020-03-10,0.074
Africa,,2020-03-11,0.084
Africa,,2020-03-12,0.096
Africa,,2020-03-13,0.126
Africa,,2020-03-14,0.181
Africa,,2020-03-15,0.228
Africa,,2020-03-16,0.288
Africa,,2020-03-17,0.35
Africa,,2020-03-18,0.429
Africa,,2020-03-19,0.556
Africa,,2020-03-20,0.679
Africa,,2020-03-21,0.822
Africa,,2020-03-22,0.986
Africa,,2020-03-23,1.257
Africa,,2020-03-24,1.562
Africa,,2020-03-25,1.933
Africa,,2020-03-26,2.324
Africa,,2020-03-27,2.7
Africa,,2020-03-28,2.892
Africa,,2020-03-29,3.253
Africa,,2020-03-30,3.489
Africa,,2020-03-31,3.849
Africa,,2020-04-01,4.2
Africa,,2020-04-02,4.545
Africa,,2020-04-03,5.051
Africa,,2020-04-04,5.4
